question,options,answer,answer_idx,source,correctness,run_0_response_json,run_0_response_idx,run_0_response,run_0_options,run_1_response_json,run_1_response_idx,run_1_response,run_1_options,run_2_response_json,run_2_response_idx,run_2_response,run_2_options,run_3_response_json,run_3_response_idx,run_3_response,run_3_options,response_set,consistency,is_certain
Who was the first president of the National Football League?,"['wa tho huk', 'james francis thorpe', 'jacobus franciscus 22jim 22 thorpe', 'jim thorpe']",jim thorpe,0,trivia,0.25,"{'proba': ['0.1', '0.6', '0.2', '0.1'], 'response_idx': '1'}",1,james francis thorpe,"['wa tho huk', 'james francis thorpe', 'jacobus franciscus 22jim 22 thorpe', 'jim thorpe']","{'proba': ['0.1', '0.7', '0.2', '0.0'], 'response_idx': '1'}",1,james francis thorpe,"['wa tho huk', 'james francis thorpe', 'jacobus franciscus 22jim 22 thorpe', 'jim thorpe']","{'proba': ['0.1', '0.1', '0.7', '0.1'], 'response_idx': '2'}",2,jim thorpe,"['wa tho huk', 'james francis thorpe', 'jacobus franciscus 22jim 22 thorpe', 'jim thorpe']","{'proba': ['0.1', '0.7', '0.1', '0.1'], 'response_idx': '1'}",1,james francis thorpe,"['wa tho huk', 'james francis thorpe', 'jacobus franciscus 22jim 22 thorpe', 'jim thorpe']","{'james francis thorpe', 'jim thorpe'}",0.75,False
"This is a teacher's family. The father's name is Lake Smith. He's forty - four. The mother's name is Kate Green. She's forty - two. The Smiths have a son, Jim, and a daughter, Ann. Jim is fourteen, and Ann is twelve. The son looks like his father, and the daughter looks like her mother. They are all in No.4 Middle School. But the Smiths are teachers; the son and daughter are students.

How many people are there in the family?     ----  _   .","['There are five', 'There are six', 'There are three', 'There are four']",There are four,0,race,1.0,"{'proba': ['0.6', '0.1', '0.2', '0.1'], 'response_idx': '0'}",0,There are four,"['There are five', 'There are six', 'There are three', 'There are four']","{'proba': ['0.1', '0.1', '0.7', '0.1'], 'response_idx': '2'}",2,There are four,"['There are five', 'There are six', 'There are three', 'There are four']","{'proba': ['0.1', '0.8', '0.1', '0.0'], 'response_idx': '1'}",1,There are four,"['There are five', 'There are six', 'There are three', 'There are four']","{'proba': ['0.2', '0.2', '0.2', '0.4'], 'response_idx': '3'}",3,There are four,"['There are five', 'There are six', 'There are three', 'There are four']",{'There are four'},1.0,True
"Below is an advertisement found in a local newspaper. As shiny as diamonds at a fraction of the price! Buy ""Simu-Gems"" at Cost-Rite Jewelers. This advertisement suggests that Cost-Rite Jewelers' supplier","['started providing small diamonds instead of large ones.', 'found a less expensive way to mine and process diamonds.', 'reduced the price of diamonds in order to sell more.', 'manufactured artificial stones that resemble diamonds.']",manufactured artificial stones that resemble diamonds.,0,arc,0.75,"{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '3'}",3,manufactured artificial stones that resemble diamonds.,"['started providing small diamonds instead of large ones.', 'found a less expensive way to mine and process diamonds.', 'reduced the price of diamonds in order to sell more.', 'manufactured artificial stones that resemble diamonds.']","{'proba': ['0.2', '0.6', '0.1', '0.1'], 'response_idx': '1'}",1,manufactured artificial stones that resemble diamonds.,"['started providing small diamonds instead of large ones.', 'found a less expensive way to mine and process diamonds.', 'reduced the price of diamonds in order to sell more.', 'manufactured artificial stones that resemble diamonds.']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '3'}",3,manufactured artificial stones that resemble diamonds.,"['started providing small diamonds instead of large ones.', 'found a less expensive way to mine and process diamonds.', 'reduced the price of diamonds in order to sell more.', 'manufactured artificial stones that resemble diamonds.']","{'proba': ['0.2', '0.1', '0.6', '0.1'], 'response_idx': '2'}",2,reduced the price of diamonds in order to sell more.,"['started providing small diamonds instead of large ones.', 'found a less expensive way to mine and process diamonds.', 'reduced the price of diamonds in order to sell more.', 'manufactured artificial stones that resemble diamonds.']","{'manufactured artificial stones that resemble diamonds.', 'reduced the price of diamonds in order to sell more.'}",0.75,False
"You're going to high school, aren't you? Maybe you don't know what to do. Well, here's a list of the top six things to do when you're in high school. These things will give you ideas of what your high school life could be like. Here you go!
Find your passion  and what kind of person you are: Whether it's dance, basketball, or drawing, the important thing is that you have found something you are interested in.
Talk to people you wouldn't usually talk to: Meet new people, find new friends and even talk to the people you don't like. It will show what a great person you are. You never know what will happen after high school.
Take part in at least one contest: This will give you tears of laughter, happiness and memories.
Get a job: This will help you see what it's like to have responsibility .It can also help you make a little money to spend on yourself.
Take a trip with your friends: It doesn't matter where you go or what you do, the memories will happen on the way and go on till the final place.
Do your best at school: Don't ever get lazy. Working hard now will help you in the future.

From Point 3, we know that you can  _  in a contest.","['have different feelings and memories', 'have a strong body', 'get good grades in high school', 'get lots of tears']",have different feelings and memories,0,race,0.25,"{'proba': ['0.2', '0.1', '0.6', '0.1'], 'response_idx': '2'}",2,get lots of tears,"['have different feelings and memories', 'have a strong body', 'get good grades in high school', 'get lots of tears']","{'proba': ['0.1', '0.1', '0.7', '0.1'], 'response_idx': '2'}",2,get good grades in high school,"['have different feelings and memories', 'have a strong body', 'get good grades in high school', 'get lots of tears']","{'proba': ['0.1', '0.1', '0.7', '0.1'], 'response_idx': '2'}",2,have different feelings and memories,"['have different feelings and memories', 'have a strong body', 'get good grades in high school', 'get lots of tears']","{'proba': ['0.2', '0.1', '0.6', '0.1'], 'response_idx': '2'}",2,get good grades in high school,"['have different feelings and memories', 'have a strong body', 'get good grades in high school', 'get lots of tears']","{'get good grades in high school', 'have different feelings and memories', 'get lots of tears'}",0.5,False
"The car was overheating, where was it located?","['street corner', 'airport', 'in phoenix', 'repair shop']",in phoenix,0,csqa,0.0,"{'proba': ['0.1', '0.1', '0.1', '0.7'], 'response_idx': '3'}",3,street corner,"['street corner', 'airport', 'in phoenix', 'repair shop']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '0'}",0,street corner,"['street corner', 'airport', 'in phoenix', 'repair shop']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '0'}",0,street corner,"['street corner', 'airport', 'in phoenix', 'repair shop']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '0'}",0,street corner,"['street corner', 'airport', 'in phoenix', 'repair shop']",{'street corner'},1.0,False
"Lance was a hothead, but he was getting better.  He removed himself from the situation and spent some time cooling off.  He didn't need what?","['relaxation', 'loss of heat', 'expansion', 'revenge']",revenge,0,csqa,0.25,"{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '2'}",2,revenge,"['relaxation', 'loss of heat', 'expansion', 'revenge']","{'proba': ['0.1', '0.7', '0.1', '0.1'], 'response_idx': '1'}",1,relaxation,"['relaxation', 'loss of heat', 'expansion', 'revenge']","{'proba': ['0.1', '0.7', '0.1', '0.1'], 'response_idx': '1'}",1,relaxation,"['relaxation', 'loss of heat', 'expansion', 'revenge']","{'proba': ['0.3', '0.1', '0.2', '0.4'], 'response_idx': '1'}",1,loss of heat,"['relaxation', 'loss of heat', 'expansion', 'revenge']","{'revenge', 'loss of heat', 'relaxation'}",0.5,False
Warren Beatty was offered full college scholarships in which sport?,"['football rules', 'football codes', 'football', 'history of football']",football,0,trivia,0.75,"{'proba': ['0.1', '0.1', '0.1', '0.7'], 'response_idx': '3'}",3,football,"['football rules', 'football codes', 'football', 'history of football']","{'proba': ['0.1', '0.2', '0.6', '0.1'], 'response_idx': '2'}",2,football,"['football rules', 'football codes', 'football', 'history of football']","{'proba': ['0.1', '0.7', '0.1', '0.1'], 'response_idx': '1'}",1,football,"['football rules', 'football codes', 'football', 'history of football']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '0'}",0,football rules,"['football rules', 'football codes', 'football', 'history of football']","{'football rules', 'football'}",0.75,False
Where did Johnny Ace die in 1954?,"['houston texas redir', 'energy capital of world', 'houston texas', 'houston']",houston texas,0,trivia,0.5,"{'proba': ['0.1', '0.7', '0.1', '0.1'], 'response_idx': '1'}",1,houston,"['houston texas redir', 'energy capital of world', 'houston texas', 'houston']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '0'}",0,houston texas redir,"['houston texas redir', 'energy capital of world', 'houston texas', 'houston']","{'proba': ['0.1', '0.7', '0.1', '0.1'], 'response_idx': '1'}",1,houston texas,"['houston texas redir', 'energy capital of world', 'houston texas', 'houston']","{'proba': ['0.1', '0.1', '0.7', '0.1'], 'response_idx': '2'}",2,houston texas,"['houston texas redir', 'energy capital of world', 'houston texas', 'houston']","{'houston', 'houston texas', 'houston texas redir'}",0.5,False
In which decade was the Oral Roberts University founded at Tulsa?,"['1960s decade', '1960 1969', 'nineteen sixties', '1960s']",1960s,0,trivia,0.5,"{'proba': ['0.1', '0.4', '0.3', '0.2'], 'response_idx': '1'}",1,1960s decade,"['1960s decade', '1960 1969', 'nineteen sixties', '1960s']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '0'}",0,1960s,"['1960s decade', '1960 1969', 'nineteen sixties', '1960s']","{'proba': ['0.3', '0.2', '0.4', '0.1'], 'response_idx': '2'}",2,1960s decade,"['1960s decade', '1960 1969', 'nineteen sixties', '1960s']","{'proba': ['0.2', '0.3', '0.1', '0.4'], 'response_idx': '3'}",3,1960s,"['1960s decade', '1960 1969', 'nineteen sixties', '1960s']","{'1960s', '1960s decade'}",0.75,False
What would happen in a country if everyone is loving another?,"['marriage', 'peace', 'heartache', 'happiness']",peace,0,csqa,0.5,"{'proba': ['0.1', '0.7', '0.1', '0.1'], 'response_idx': '1'}",1,happiness,"['marriage', 'peace', 'heartache', 'happiness']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '0'}",0,happiness,"['marriage', 'peace', 'heartache', 'happiness']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '0'}",0,peace,"['marriage', 'peace', 'heartache', 'happiness']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '1'}",1,peace,"['marriage', 'peace', 'heartache', 'happiness']","{'happiness', 'peace'}",0.75,False
Which company was responsible for the oil spill in Alaska in 1989?,"['exxon research and engineering company', 'exxon company', 'exxon', 'exxon company usa']",exxon,0,trivia,0.0,"{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '1'}",1,exxon company usa,"['exxon research and engineering company', 'exxon company', 'exxon', 'exxon company usa']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '0'}",0,exxon company usa,"['exxon research and engineering company', 'exxon company', 'exxon', 'exxon company usa']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '1'}",1,exxon company,"['exxon research and engineering company', 'exxon company', 'exxon', 'exxon company usa']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '1'}",1,exxon company,"['exxon research and engineering company', 'exxon company', 'exxon', 'exxon company usa']","{'exxon company usa', 'exxon company'}",0.75,False
A bowling ball with a mass of 8.0 kg rolls down a bowling lane at 2.0 m/s. What is the momentum of the bowling ball?,"['10.0 kg x m/s', '6.0 kg x m/s', '16.0 kg x m/s', '4.0 kg x m/s']",16.0 kg x m/s,0,arc,0.5,"{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '0'}",0,16.0 kg x m/s,"['10.0 kg x m/s', '6.0 kg x m/s', '16.0 kg x m/s', '4.0 kg x m/s']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '0'}",0,10.0 kg x m/s,"['10.0 kg x m/s', '6.0 kg x m/s', '16.0 kg x m/s', '4.0 kg x m/s']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '0'}",0,16.0 kg x m/s,"['10.0 kg x m/s', '6.0 kg x m/s', '16.0 kg x m/s', '4.0 kg x m/s']","{'proba': ['0.25', '0.25', '0.25', '0.25'], 'response_idx': '0'}",0,10.0 kg x m/s,"['10.0 kg x m/s', '6.0 kg x m/s', '16.0 kg x m/s', '4.0 kg x m/s']","{'10.0 kg x m/s', '16.0 kg x m/s'}",0.75,False
Which country does tennis player Marcelo Rios come from?,"['chile', 'name of chile', 'chilé', 'etymology of chile']",chile,0,trivia,1.0,"{'proba': ['0.9', '0.05', '0.025', '0.025'], 'response_idx': '0'}",0,chile,"['chile', 'name of chile', 'chilé', 'etymology of chile']","{'proba': ['0.95', '0.01', '0.02', '0.02'], 'response_idx': '0'}",0,chile,"['chile', 'name of chile', 'chilé', 'etymology of chile']","{'proba': ['0.1', '0.1', '0.7', '0.1'], 'response_idx': '2'}",2,chile,"['chile', 'name of chile', 'chilé', 'etymology of chile']","{'proba': ['0.95', '0.02', '0.02', '0.01'], 'response_idx': '0'}",0,chile,"['chile', 'name of chile', 'chilé', 'etymology of chile']",{'chile'},1.0,True
"In 1995,Oseola McCarty gave a present of $150 000 to the University of Southern Mississippi. She wanted to help poor students. It was a very generous thing to do. But her friends and neighbors were surprised. McCarty was a good woman. She went to church. She was always friendly and helpful. But everyone in her town knew that McCarty was not rich. In fact,she was poor.
How did a poor 86-year-old woman have so much money? Oseola McCarty was born in 1908 in Hattiesburg,Mississippi. She had to leave school when she was eight years old to help her family. She took a job washing clothes. She earned only a few dollars a day. Oseola washed the clothes by hand. Then she hung the clothes to dry. She did this for nearly 80 years. In the 1960s,she bought an automatic washer and dryer. But she gave them away. She did not think they got the clothes clean enough!At that time,many people started to buy their own washers and dryers. McCarty did not have much work, so she started to iron clothes instead.
McCarty never married or had children. Her life was very simple. She went to work and to church. She read her Bible  . She had a black-and-white television. But she did not watch it very much. It had only one channel.
McCarty saved money all her life and eventually had about $250 000. When she was 86,a lawyer helped her make a will. She left money to the church,her relatives,and the university. McCarty just wanted to help others. She did not think she was a special person. But then people found out about her present to the university. She received many honors  . She even flew in an airplane for the first time!Oseola McCarty died in 1999. She was a shy and ordinary woman who became famous.
,.

From which of the following can we tell McCarty lived a simple life?","[""She didn't think she was special."", 'She had a TV set with many channels.', 'She worked hard all her life.', ""She didn't have many interests.""]",She didn't have many interests.,0,race,0.0,"{'proba': ['0.1', '0.1', '0.7', '0.1'], 'response_idx': '2'}",2,She worked hard all her life.,"[""She didn't think she was special."", 'She had a TV set with many channels.', 'She worked hard all her life.', ""She didn't have many interests.""]","{'proba': ['0.9', '0.05', '0.03', '0.02'], 'response_idx': '0'}",0,She worked hard all her life.,"[""She didn't think she was special."", 'She had a TV set with many channels.', 'She worked hard all her life.', ""She didn't have many interests.""]","{'proba': ['0.1', '0.2', '0.6', '0.1'], 'response_idx': '2'}",2,She worked hard all her life.,"[""She didn't think she was special."", 'She had a TV set with many channels.', 'She worked hard all her life.', ""She didn't have many interests.""]","{'proba': ['0.9', '0.05', '0.05', '0'], 'response_idx': '0'}",0,She didn't think she was special.,"[""She didn't think she was special."", 'She had a TV set with many channels.', 'She worked hard all her life.', ""She didn't have many interests.""]","{""She didn't think she was special."", 'She worked hard all her life.'}",0.75,False
The carotid is a main artery susceptible to damage where?,"['human body', 'torso', 'busy city', 'neck']",neck,0,csqa,1.0,"{'proba': ['0.8', '0.05', '0.1', '0.05'], 'response_idx': '0'}",0,neck,"['human body', 'torso', 'busy city', 'neck']","{'proba': ['0.4', '0.2', '0.1', '0.3'], 'response_idx': '0'}",0,neck,"['human body', 'torso', 'busy city', 'neck']","{'proba': ['0.1', '0.1', '0.7', '0.1'], 'response_idx': '2'}",2,neck,"['human body', 'torso', 'busy city', 'neck']","{'proba': ['0.1', '0.1', '0.1', '0.7'], 'response_idx': '3'}",3,neck,"['human body', 'torso', 'busy city', 'neck']",{'neck'},1.0,True
"Zach has a stepson, Bradley. One day, Zach drove over to meet Bradley. Bradley was a student in a high school. He neither liked nor disliked Zach, even though he had known Zach for three years. Zach was still trying to get along with Bradley. He told Bradley that he was coming over. Bradley said OK. When Zach got there, he asked if Bradley wanted to drive his car. Bradley had a driver's _ . Bradley said all right. Zach told him not to drive too fast, but he could drive anywhere he wanted. Bradley got on the 210 Road and headed northwest. Zach gave Bradley a few driving tips: Don't drive next to big cars; don't drive behind trucks with goods...
On their way back, Zach suggested that they stop at the golf course . He wanted to show Bradley how to play golf. But Bradley didn't like it; he liked his video games. However, Bradley soon found that playing golf was fun and he did very well. The next day, Bradley, for the first time, called Zach. Bradley asked if Zach would come the next Saturday, so they could take a drive and go to the golf course again. Zach said yes, with a happy feeling in his heart.

The reason why Zach tried to get along with Bradley is that   _  .","[""he didn't know how to spend his time"", 'he wanted to teach Bradley as a father', 'he wanted to improve his relationship with Bradley', 'he wanted to show what he could do well in']",he wanted to improve his relationship with Bradley,0,race,1.0,"{'proba': ['0.1', '0.7', '0.1', '0.1'], 'response_idx': '1'}",1,he wanted to improve his relationship with Bradley,"[""he didn't know how to spend his time"", 'he wanted to teach Bradley as a father', 'he wanted to improve his relationship with Bradley', 'he wanted to show what he could do well in']","{'proba': ['0.2', '0.1', '0.1', '0.6'], 'response_idx': '3'}",3,he wanted to improve his relationship with Bradley,"[""he didn't know how to spend his time"", 'he wanted to teach Bradley as a father', 'he wanted to improve his relationship with Bradley', 'he wanted to show what he could do well in']","{'proba': ['0.9', '0.05', '0.03', '0.02'], 'response_idx': '0'}",0,he wanted to improve his relationship with Bradley,"[""he didn't know how to spend his time"", 'he wanted to teach Bradley as a father', 'he wanted to improve his relationship with Bradley', 'he wanted to show what he could do well in']","{'proba': ['0.1', '0.7', '0.2', '0.0'], 'response_idx': '2'}",2,he wanted to improve his relationship with Bradley,"[""he didn't know how to spend his time"", 'he wanted to teach Bradley as a father', 'he wanted to improve his relationship with Bradley', 'he wanted to show what he could do well in']",{'he wanted to improve his relationship with Bradley'},1.0,True
