question,options,answer,answer_idx,source,correctness,run_0_response_json,run_0_response_idx,run_0_response,run_0_options,run_1_response_json,run_1_response_idx,run_1_response,run_1_options,run_2_response_json,run_2_response_idx,run_2_response,run_2_options,run_3_response_json,run_3_response_idx,run_3_response,run_3_options,response_set,consistency,is_certain
"This is a teacher's family. The father's name is Lake Smith. He's forty - four. The mother's name is Kate Green. She's forty - two. The Smiths have a son, Jim, and a daughter, Ann. Jim is fourteen, and Ann is twelve. The son looks like his father, and the daughter looks like her mother. They are all in No.4 Middle School. But the Smiths are teachers; the son and daughter are students.

How many people are there in the family?     ----  _   .","['There are three', 'There are six', 'There are four', 'There are five']",There are four,0,race,1.0,"{'proba': [0.0, 0.0, 0.7, 0.3], 'response_idx': 2}",2,There are four,"['There are three', 'There are six', 'There are four', 'There are five']","{'proba': [0.1, 0.1, 0.8, 0.0], 'response_idx': 2}",2,There are four,"['There are three', 'There are six', 'There are four', 'There are five']","{'proba': [0.9, 0.05, 0.02, 0.03], 'response_idx': 0}",0,There are four,"['There are three', 'There are six', 'There are four', 'There are five']","{'proba': [0.0, 0.0, 0.6, 0.4], 'response_idx': 2}",2,There are four,"['There are three', 'There are six', 'There are four', 'There are five']",{'There are four'},1.0,True
"Below is an advertisement found in a local newspaper. As shiny as diamonds at a fraction of the price! Buy ""Simu-Gems"" at Cost-Rite Jewelers. This advertisement suggests that Cost-Rite Jewelers' supplier","['reduced the price of diamonds in order to sell more.', 'found a less expensive way to mine and process diamonds.', 'manufactured artificial stones that resemble diamonds.', 'started providing small diamonds instead of large ones.']",manufactured artificial stones that resemble diamonds.,0,arc,1.0,"{'proba': [0.1, 0.1, 0.1, 0.7], 'response_idx': 3}",3,manufactured artificial stones that resemble diamonds.,"['reduced the price of diamonds in order to sell more.', 'found a less expensive way to mine and process diamonds.', 'manufactured artificial stones that resemble diamonds.', 'started providing small diamonds instead of large ones.']","{'proba': [0.1, 0.8, 0.05, 0.05], 'response_idx': 1}",1,manufactured artificial stones that resemble diamonds.,"['reduced the price of diamonds in order to sell more.', 'found a less expensive way to mine and process diamonds.', 'manufactured artificial stones that resemble diamonds.', 'started providing small diamonds instead of large ones.']","{'proba': [0.1, 0.1, 0.7, 0.1], 'response_idx': 2}",2,manufactured artificial stones that resemble diamonds.,"['reduced the price of diamonds in order to sell more.', 'found a less expensive way to mine and process diamonds.', 'manufactured artificial stones that resemble diamonds.', 'started providing small diamonds instead of large ones.']","{'proba': [0.1, 0.1, 0.7, 0.1], 'response_idx': 2}",2,manufactured artificial stones that resemble diamonds.,"['reduced the price of diamonds in order to sell more.', 'found a less expensive way to mine and process diamonds.', 'manufactured artificial stones that resemble diamonds.', 'started providing small diamonds instead of large ones.']",{'manufactured artificial stones that resemble diamonds.'},1.0,True
"You're going to high school, aren't you? Maybe you don't know what to do. Well, here's a list of the top six things to do when you're in high school. These things will give you ideas of what your high school life could be like. Here you go!
Find your passion  and what kind of person you are: Whether it's dance, basketball, or drawing, the important thing is that you have found something you are interested in.
Talk to people you wouldn't usually talk to: Meet new people, find new friends and even talk to the people you don't like. It will show what a great person you are. You never know what will happen after high school.
Take part in at least one contest: This will give you tears of laughter, happiness and memories.
Get a job: This will help you see what it's like to have responsibility .It can also help you make a little money to spend on yourself.
Take a trip with your friends: It doesn't matter where you go or what you do, the memories will happen on the way and go on till the final place.
Do your best at school: Don't ever get lazy. Working hard now will help you in the future.

From Point 3, we know that you can  _  in a contest.","['have different feelings and memories', 'get good grades in high school', 'have a strong body', 'get lots of tears']",have different feelings and memories,0,race,0.5,"{'proba': [0.1, 0.6, 0.1, 0.2], 'response_idx': 1}",1,get lots of tears,"['have different feelings and memories', 'get good grades in high school', 'have a strong body', 'get lots of tears']","{'proba': [0.1, 0.1, 0.7, 0.1], 'response_idx': 2}",2,have different feelings and memories,"['have different feelings and memories', 'get good grades in high school', 'have a strong body', 'get lots of tears']","{'proba': [0.1, 0.4, 0.4, 0.1], 'response_idx': 2}",2,have different feelings and memories,"['have different feelings and memories', 'get good grades in high school', 'have a strong body', 'get lots of tears']","{'proba': [0.1, 0.1, 0.1, 0.7], 'response_idx': 3}",3,get lots of tears,"['have different feelings and memories', 'get good grades in high school', 'have a strong body', 'get lots of tears']","{'have different feelings and memories', 'get lots of tears'}",0.75,False
"The car was overheating, where was it located?","['airport', 'in phoenix', 'repair shop', 'street corner']",in phoenix,0,csqa,0.25,"{'proba': [0.1, 0.3, 0.5, 0.1], 'response_idx': 2}",2,repair shop,"['airport', 'in phoenix', 'repair shop', 'street corner']","{'proba': [0.1, 0.4, 0.3, 0.2], 'response_idx': 1}",1,repair shop,"['airport', 'in phoenix', 'repair shop', 'street corner']","{'proba': [0.1, 0.4, 0.1, 0.4], 'response_idx': 1}",1,street corner,"['airport', 'in phoenix', 'repair shop', 'street corner']","{'proba': [0.1, 0.4, 0.3, 0.2], 'response_idx': 1}",1,in phoenix,"['airport', 'in phoenix', 'repair shop', 'street corner']","{'street corner', 'repair shop', 'in phoenix'}",0.5,False
"Lance was a hothead, but he was getting better.  He removed himself from the situation and spent some time cooling off.  He didn't need what?","['revenge', 'loss of heat', 'expansion', 'relaxation']",revenge,0,csqa,1.0,"{'proba': [0.05, 0.85, 0.05, 0.05], 'response_idx': 1}",1,revenge,"['revenge', 'loss of heat', 'expansion', 'relaxation']","{'proba': [0.7, 0.1, 0.1, 0.1], 'response_idx': 0}",0,revenge,"['revenge', 'loss of heat', 'expansion', 'relaxation']","{'proba': [0.1, 0.1, 0.7, 0.1], 'response_idx': 2}",2,revenge,"['revenge', 'loss of heat', 'expansion', 'relaxation']","{'proba': [0.7, 0.1, 0.1, 0.1], 'response_idx': 0}",0,revenge,"['revenge', 'loss of heat', 'expansion', 'relaxation']",{'revenge'},1.0,True
Warren Beatty was offered full college scholarships in which sport?,"['football rules', 'football', 'history of football', 'football codes']",football,0,trivia,1.0,"{'proba': [0.1, 0.1, 0.1, 0.7], 'response_idx': 3}",3,football,"['football rules', 'football', 'history of football', 'football codes']","{'proba': [0.1, 0.1, 0.7, 0.1], 'response_idx': 2}",2,football,"['football rules', 'football', 'history of football', 'football codes']","{'proba': [0.1, 0.8, 0.05, 0.05], 'response_idx': 1}",1,football,"['football rules', 'football', 'history of football', 'football codes']","{'proba': [0.1, 0.8, 0.05, 0.05], 'response_idx': 1}",1,football,"['football rules', 'football', 'history of football', 'football codes']",{'football'},1.0,True
Where did Johnny Ace die in 1954?,"['houston texas redir', 'houston', 'energy capital of world', 'houston texas']",houston texas,0,trivia,0.5,"{'proba': [0.1, 0.8, 0.05, 0.05], 'response_idx': 1}",1,houston texas,"['houston texas redir', 'houston', 'energy capital of world', 'houston texas']","{'proba': [0.1, 0.1, 0.7, 0.1], 'response_idx': 2}",2,houston texas,"['houston texas redir', 'houston', 'energy capital of world', 'houston texas']","{'proba': [0.1, 0.4, 0.1, 0.4], 'response_idx': 1}",1,houston,"['houston texas redir', 'houston', 'energy capital of world', 'houston texas']","{'proba': [0.1, 0.4, 0.1, 0.4], 'response_idx': 1}",1,houston,"['houston texas redir', 'houston', 'energy capital of world', 'houston texas']","{'houston', 'houston texas'}",0.75,False
In which decade was the Oral Roberts University founded at Tulsa?,"['1960s decade', '1960s', 'nineteen sixties', '1960 1969']",1960s,0,trivia,0.75,"{'proba': [0.25, 0.25, 0.25, 0.25], 'response_idx': 1}",1,1960s,"['1960s decade', '1960s', 'nineteen sixties', '1960 1969']","{'proba': [0.1, 0.3, 0.3, 0.3], 'response_idx': 3}",3,1960s,"['1960s decade', '1960s', 'nineteen sixties', '1960 1969']","{'proba': [0.25, 0.25, 0.25, 0.25], 'response_idx': 0}",0,1960 1969,"['1960s decade', '1960s', 'nineteen sixties', '1960 1969']","{'proba': [0.1, 0.3, 0.3, 0.3], 'response_idx': 1}",1,1960s,"['1960s decade', '1960s', 'nineteen sixties', '1960 1969']","{'1960 1969', '1960s'}",0.75,False
What would happen in a country if everyone is loving another?,"['happiness', 'heartache', 'marriage', 'peace']",peace,0,csqa,0.25,"{'proba': [0.1, 0.2, 0.4, 0.3], 'response_idx': 2}",2,peace,"['happiness', 'heartache', 'marriage', 'peace']","{'proba': [0.1, 0.7, 0.1, 0.1], 'response_idx': 1}",1,happiness,"['happiness', 'heartache', 'marriage', 'peace']","{'proba': [0.1, 0.4, 0.4, 0.1], 'response_idx': 1}",1,happiness,"['happiness', 'heartache', 'marriage', 'peace']","{'proba': [0.6, 0.1, 0.1, 0.2], 'response_idx': 0}",0,happiness,"['happiness', 'heartache', 'marriage', 'peace']","{'happiness', 'peace'}",0.75,False
Which company was responsible for the oil spill in Alaska in 1989?,"['exxon company usa', 'exxon research and engineering company', 'exxon company', 'exxon']",exxon,0,trivia,0.5,"{'proba': [0.7, 0.1, 0.1, 0.1], 'response_idx': 0}",0,exxon company,"['exxon company usa', 'exxon research and engineering company', 'exxon company', 'exxon']","{'proba': [0.1, 0.8, 0.05, 0.05], 'response_idx': 1}",1,exxon,"['exxon company usa', 'exxon research and engineering company', 'exxon company', 'exxon']","{'proba': [0.1, 0.7, 0.1, 0.1], 'response_idx': 1}",1,exxon,"['exxon company usa', 'exxon research and engineering company', 'exxon company', 'exxon']","{'proba': [0.4, 0.2, 0.2, 0.2], 'response_idx': 0}",0,exxon company usa,"['exxon company usa', 'exxon research and engineering company', 'exxon company', 'exxon']","{'exxon', 'exxon company usa', 'exxon company'}",0.5,False
A bowling ball with a mass of 8.0 kg rolls down a bowling lane at 2.0 m/s. What is the momentum of the bowling ball?,"['16.0 kg x m/s', '10.0 kg x m/s', '6.0 kg x m/s', '4.0 kg x m/s']",16.0 kg x m/s,0,arc,1.0,"{'proba': [0.0, 0.0, 0.0, 1.0], 'response_idx': 3}",3,16.0 kg x m/s,"['16.0 kg x m/s', '10.0 kg x m/s', '6.0 kg x m/s', '4.0 kg x m/s']","{'proba': [0.1, 0.7, 0.1, 0.1], 'response_idx': 1}",1,16.0 kg x m/s,"['16.0 kg x m/s', '10.0 kg x m/s', '6.0 kg x m/s', '4.0 kg x m/s']","{'proba': [0.1, 0.8, 0.05, 0.05], 'response_idx': 1}",1,16.0 kg x m/s,"['16.0 kg x m/s', '10.0 kg x m/s', '6.0 kg x m/s', '4.0 kg x m/s']","{'proba': [0.9, 0.05, 0.03, 0.02], 'response_idx': 0}",0,16.0 kg x m/s,"['16.0 kg x m/s', '10.0 kg x m/s', '6.0 kg x m/s', '4.0 kg x m/s']",{'16.0 kg x m/s'},1.0,True
Which country does tennis player Marcelo Rios come from?,"['chile', 'name of chile', 'etymology of chile', 'chilé']",chile,0,trivia,1.0,"{'proba': [0.1, 0.1, 0.1, 0.7], 'response_idx': 3}",3,chile,"['chile', 'name of chile', 'etymology of chile', 'chilé']","{'proba': [0.1, 0.8, 0.05, 0.05], 'response_idx': 1}",1,chile,"['chile', 'name of chile', 'etymology of chile', 'chilé']","{'proba': [0.9, 0.05, 0.025, 0.025], 'response_idx': 0}",0,chile,"['chile', 'name of chile', 'etymology of chile', 'chilé']","{'proba': [0.85, 0.05, 0.05, 0.05], 'response_idx': 0}",0,chile,"['chile', 'name of chile', 'etymology of chile', 'chilé']",{'chile'},1.0,True
"In 1995,Oseola McCarty gave a present of $150 000 to the University of Southern Mississippi. She wanted to help poor students. It was a very generous thing to do. But her friends and neighbors were surprised. McCarty was a good woman. She went to church. She was always friendly and helpful. But everyone in her town knew that McCarty was not rich. In fact,she was poor.
How did a poor 86-year-old woman have so much money? Oseola McCarty was born in 1908 in Hattiesburg,Mississippi. She had to leave school when she was eight years old to help her family. She took a job washing clothes. She earned only a few dollars a day. Oseola washed the clothes by hand. Then she hung the clothes to dry. She did this for nearly 80 years. In the 1960s,she bought an automatic washer and dryer. But she gave them away. She did not think they got the clothes clean enough!At that time,many people started to buy their own washers and dryers. McCarty did not have much work, so she started to iron clothes instead.
McCarty never married or had children. Her life was very simple. She went to work and to church. She read her Bible  . She had a black-and-white television. But she did not watch it very much. It had only one channel.
McCarty saved money all her life and eventually had about $250 000. When she was 86,a lawyer helped her make a will. She left money to the church,her relatives,and the university. McCarty just wanted to help others. She did not think she was a special person. But then people found out about her present to the university. She received many honors  . She even flew in an airplane for the first time!Oseola McCarty died in 1999. She was a shy and ordinary woman who became famous.
,.

From which of the following can we tell McCarty lived a simple life?","['She worked hard all her life.', 'She had a TV set with many channels.', ""She didn't think she was special."", ""She didn't have many interests.""]",She didn't have many interests.,0,race,0.0,"{'proba': [0.1, 0.2, 0.4, 0.3], 'response_idx': 2}",2,She didn't think she was special.,"['She worked hard all her life.', 'She had a TV set with many channels.', ""She didn't think she was special."", ""She didn't have many interests.""]","{'proba': [0.1, 0.3, 0.5, 0.1], 'response_idx': 2}",2,She didn't think she was special.,"['She worked hard all her life.', 'She had a TV set with many channels.', ""She didn't think she was special."", ""She didn't have many interests.""]","{'proba': [0.4, 0.3, 0.1, 0.2], 'response_idx': 1}",1,She didn't think she was special.,"['She worked hard all her life.', 'She had a TV set with many channels.', ""She didn't think she was special."", ""She didn't have many interests.""]","{'proba': [0.4, 0.1, 0.4, 0.1], 'response_idx': 2}",2,She didn't think she was special.,"['She worked hard all her life.', 'She had a TV set with many channels.', ""She didn't think she was special."", ""She didn't have many interests.""]","{""She didn't think she was special.""}",1.0,False
The carotid is a main artery susceptible to damage where?,"['neck', 'busy city', 'human body', 'torso']",neck,0,csqa,1.0,"{'proba': [0.1, 0.1, 0.7, 0.1], 'response_idx': 2}",2,neck,"['neck', 'busy city', 'human body', 'torso']","{'proba': [0.8, 0.1, 0.05, 0.05], 'response_idx': 0}",0,neck,"['neck', 'busy city', 'human body', 'torso']","{'proba': [0.1, 0.1, 0.8, 0.0], 'response_idx': 2}",2,neck,"['neck', 'busy city', 'human body', 'torso']","{'proba': [0.8, 0.1, 0.05, 0.05], 'response_idx': 0}",0,neck,"['neck', 'busy city', 'human body', 'torso']",{'neck'},1.0,True
"Zach has a stepson, Bradley. One day, Zach drove over to meet Bradley. Bradley was a student in a high school. He neither liked nor disliked Zach, even though he had known Zach for three years. Zach was still trying to get along with Bradley. He told Bradley that he was coming over. Bradley said OK. When Zach got there, he asked if Bradley wanted to drive his car. Bradley had a driver's _ . Bradley said all right. Zach told him not to drive too fast, but he could drive anywhere he wanted. Bradley got on the 210 Road and headed northwest. Zach gave Bradley a few driving tips: Don't drive next to big cars; don't drive behind trucks with goods...
On their way back, Zach suggested that they stop at the golf course . He wanted to show Bradley how to play golf. But Bradley didn't like it; he liked his video games. However, Bradley soon found that playing golf was fun and he did very well. The next day, Bradley, for the first time, called Zach. Bradley asked if Zach would come the next Saturday, so they could take a drive and go to the golf course again. Zach said yes, with a happy feeling in his heart.

The reason why Zach tried to get along with Bradley is that   _  .","['he wanted to show what he could do well in', ""he didn't know how to spend his time"", 'he wanted to improve his relationship with Bradley', 'he wanted to teach Bradley as a father']",he wanted to improve his relationship with Bradley,0,race,1.0,"{'proba': [0.7, 0.1, 0.1, 0.1], 'response_idx': 0}",0,he wanted to improve his relationship with Bradley,"['he wanted to show what he could do well in', ""he didn't know how to spend his time"", 'he wanted to improve his relationship with Bradley', 'he wanted to teach Bradley as a father']","{'proba': [0.1, 0.2, 0.7, 0.0], 'response_idx': 2}",2,he wanted to improve his relationship with Bradley,"['he wanted to show what he could do well in', ""he didn't know how to spend his time"", 'he wanted to improve his relationship with Bradley', 'he wanted to teach Bradley as a father']","{'proba': [0.1, 0.7, 0.1, 0.1], 'response_idx': 1}",1,he wanted to improve his relationship with Bradley,"['he wanted to show what he could do well in', ""he didn't know how to spend his time"", 'he wanted to improve his relationship with Bradley', 'he wanted to teach Bradley as a father']","{'proba': [0.1, 0.1, 0.7, 0.1], 'response_idx': 2}",2,he wanted to improve his relationship with Bradley,"['he wanted to show what he could do well in', ""he didn't know how to spend his time"", 'he wanted to improve his relationship with Bradley', 'he wanted to teach Bradley as a father']",{'he wanted to improve his relationship with Bradley'},1.0,True
